Temperature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,SDI,Level
35,32.24,43.94,48.21,33.17,21.87,30.86,Moderate
39,43.74,21.11,5.25,6.53,11.99,70.34,High
40,26.56,18.04,30.37,11.07,9.76,70.74,High
35,21.69,12.68,43.3,30.65,9.09,56.74,Moderate
40,47.93,41.94,19.28,26.55,13.12,41.55,Moderate
31,36.01,41.63,39.56,45.73,19.52,28.86,Low
31,45.03,50.76,19.51,21.78,2.58,35.52,Moderate
28,50.64,58.53,12.5,49.38,1.29,36.71,Moderate
24,65.6,56.86,52.32,9.87,1.79,27.9,Low
40,33.75,67.22,13.24,5.17,2.79,74.05,High
40,20.18,10.93,10.09,44.93,17.55,73.43,High
39,53.88,14.43,42.5,9.01,4.17,59.52,Moderate
29,64.82,64.28,40.06,49.56,23.52,22.02,Low
20,69.03,60.76,13.29,31.24,19.9,26.67,Low
24,53.58,48.98,50.56,36.38,29.17,8.32,Healthy
39,43.21,10.37,10.92,9.75,25.78,70.38,High
25,72.06,51.06,46.94,39.1,19.52,7.58,Healthy
25,61.1,56.67,37.88,36.45,11.93,8.4,Healthy
28,54.52,34.37,10.74,24.87,18.03,28.24,Low
39,23.04,13.33,23.47,28.26,3.16,70.6,High
32,53.91,33.49,35.36,33.4,28.16,25.8,Low
25,58.82,64.33,37.54,40.25,14.39,12.2,Low
29,27.32,48.4,10.37,5.93,4.58,54.14,Moderate
25,47.9,31.65,39.71,48.18,10.41,24.31,Low
26,60.93,60.52,36.37,35.46,23.36,9.91,Healthy
35,57.57,68.04,30.37,33.89,13.6,29.18,Low
22,57.67,55.48,49.4,36.46,25.54,9.54,Healthy
30,57.8,63.51,53.5,14.37,17.48,23.8,Low
25,55.97,48.74,42.1,27.98,3.97,12.46,Low
26,23.39,31.73,15.96,45.51,6.46,45.88,Moderate
38,67.7,55.16,43.24,26.21,22.57,27.35,Low
39,33.99,11.8,10.89,24.24,4.51,71.19,High
37,22.73,13.08,13.83,22.6,1.55,75.17,High
25,65.18,54.67,43.83,28.78,26.43,8.81,Healthy
30,62.6,52.79,51.84,33.74,18.94,9.72,Healthy
36,21.61,17.08,48.61,17.18,16.09,58.12,Moderate
40,29.23,12.76,31.59,49.95,1.63,71.44,High
38,48.38,19.51,14.65,7.01,18.56,61.02,Moderate
39,53.38,63.67,32.57,13.62,29.85,44.38,Moderate
22,61.13,47.54,54.26,34.1,14.49,7.69,Healthy
27,65.26,53.36,59.28,31.04,21.21,9.04,Healthy
21,49.84,20.88,53.46,41.63,19.86,26.81,Low
35,75.7,15.53,22.94,37.77,22.38,45.22,Moderate
38,41.24,54.88,45.43,12.15,29.34,42.73,Moderate
32,45.31,39.29,38.9,18.47,20.74,29.81,Low
39,20.12,12.59,5.99,34.91,11.7,72.37,High
32,68.89,40.5,55.63,48.71,16.43,24.48,Low
26,60.81,37.02,37.41,25.73,11.06,15.69,Low
39,22.57,20.38,5.71,26.66,1.81,75.57,High
39,43.49,17.54,11.46,5.53,10.49,71.19,High
35,20.47,12.03,59.58,8.46,5.01,72.31,High
27,58.98,49.91,46.43,44.36,21.9,6.41,Healthy
27,70.48,50.37,46.78,33.89,15.94,9.36,Healthy
34,33.91,17.67,31.2,38.98,19.02,45.5,Moderate
22,38.56,53.31,47.37,43.36,15.23,19.93,Low
25,61.97,47.97,45.47,32.78,27.11,4.83,Healthy
26,66.99,43.58,55.39,32.87,18.81,9.0,Healthy
23,66.06,53.14,38.53,37.76,17.72,9.72,Healthy
27,54.26,51.31,52.97,46.06,18.81,9.91,Healthy
27,55.29,59.09,44.89,17.27,27.06,18.97,Low
28,58.05,52.02,50.09,32.65,13.44,8.19,Healthy
37,22.07,13.79,18.33,49.47,8.48,70.03,High
38,36.32,10.17,12.96,49.84,1.09,73.06,High
23,60.72,52.56,38.47,26.65,18.09,8.47,Healthy
21,62.15,53.42,55.76,48.76,3.95,20.55,Low
32,78.51,58.19,57.49,42.36,28.6,28.2,Low
34,41.13,14.95,32.32,15.57,5.26,56.26,Moderate
40,30.17,16.97,12.0,7.33,23.16,75.28,High
20,29.79,24.4,43.53,29.11,4.68,43.28,Moderate
35,62.16,69.15,23.23,15.88,20.07,37.5,Moderate
36,46.2,39.5,6.46,33.32,13.63,41.0,Moderate
25,60.58,57.05,51.21,26.31,17.4,6.68,Healthy
30,66.97,52.42,18.06,44.67,29.6,25.09,Low
25,48.75,46.8,50.06,42.07,21.87,9.23,Healthy
25,66.39,53.7,43.64,39.2,13.42,8.4,Healthy
35,79.77,54.47,35.03,44.52,17.99,30.91,Moderate
27,59.38,55.0,59.54,26.96,18.5,9.01,Healthy
22,59.46,44.09,17.15,7.58,27.25,30.5,Moderate
37,55.42,52.0,40.63,42.1,23.49,22.96,Low
25,58.49,68.33,31.12,33.02,25.69,15.17,Low
37,73.23,16.62,42.09,36.9,13.64,42.28,Moderate
24,48.35,51.94,53.82,30.16,22.57,9.88,Healthy
38,21.82,14.79,7.5,15.35,9.06,77.78,High
33,71.9,65.0,43.65,46.13,9.02,32.25,Moderate
25,57.91,56.38,36.67,42.72,16.07,9.13,Healthy
36,24.93,23.69,12.29,6.19,26.68,71.23,High
24,65.1,49.91,36.44,23.84,18.02,9.76,Healthy
33,24.1,17.99,51.55,46.43,17.78,48.6,Moderate
36,78.29,14.96,5.2,11.73,4.33,71.24,High
33,20.94,22.7,22.03,48.04,23.69,55.21,Moderate
34,22.19,13.79,56.17,9.16,2.14,70.09,High
27,55.08,53.87,52.7,38.9,17.4,8.42,Healthy
39,22.29,68.52,11.05,6.8,10.1,74.25,High
38,22.05,37.98,15.83,5.86,7.14,70.31,High
27,42.45,25.28,54.44,26.74,29.56,29.67,Low
28,62.77,53.33,48.73,30.18,16.73,8.74,Healthy
25,28.76,56.02,40.55,34.83,11.22,22.78,Low
24,69.09,48.08,47.62,33.97,20.79,7.17,Healthy
29,54.82,51.65,54.21,31.61,18.24,9.95,Healthy
26,70.63,45.27,48.45,32.89,16.87,9.99,Healthy
23,54.82,50.23,48.38,34.6,13.11,7.5,Healthy
27,61.7,60.42,30.31,22.05,7.7,21.51,Low
25,55.26,49.35,56.18,47.97,27.34,9.83,Healthy
25,48.84,52.28,44.58,29.38,19.38,8.53,Healthy
26,54.59,47.77,34.79,39.31,23.62,9.26,Healthy
40,23.98,11.9,43.2,17.12,3.46,72.23,High
20,50.47,42.34,49.41,12.97,6.06,30.54,Moderate
39,24.44,21.52,30.68,5.2,29.4,72.36,High
30,52.95,46.15,28.76,22.05,18.31,20.77,Low
40,37.28,13.25,27.35,5.3,6.4,74.69,High
23,49.94,51.76,41.7,33.61,18.54,9.94,Healthy
35,76.59,51.34,54.48,49.54,17.33,28.25,Low
34,20.17,11.23,33.06,12.27,2.01,72.68,High
25,57.12,45.55,55.15,41.63,8.67,9.98,Healthy
40,25.97,32.57,10.37,7.16,23.36,70.41,High
22,61.57,61.3,40.08,18.16,15.19,19.25,Low
27,36.81,39.27,55.01,36.9,13.14,22.35,Low
23,73.28,63.13,18.11,23.58,20.07,27.04,Low
26,75.31,14.69,41.93,40.53,16.14,29.65,Low
29,64.2,48.31,49.36,14.43,6.07,22.63,Low
27,60.82,55.95,58.03,30.98,20.02,7.75,Healthy
40,24.81,66.91,16.94,6.29,1.79,76.85,High
23,42.12,43.71,12.07,49.92,11.6,32.65,Moderate
38,20.81,15.45,5.35,10.69,3.39,85.37,High
39,25.97,10.47,37.76,16.41,5.13,70.99,High
39,24.69,12.42,26.44,10.81,21.36,71.0,High
24,68.63,48.64,50.72,40.12,18.73,7.57,Healthy
25,55.97,41.17,43.5,30.6,20.7,8.04,Healthy
39,26.47,69.05,16.03,7.95,7.17,71.34,High
21,46.51,68.6,56.03,17.52,18.32,28.92,Low
26,27.48,62.75,37.91,34.68,29.44,29.01,Low
29,43.87,21.33,5.82,47.21,6.18,49.83,Moderate
40,23.84,17.03,5.41,37.52,9.32,71.46,High
23,38.75,61.81,12.9,25.51,11.19,34.38,Moderate
20,30.4,60.48,34.18,19.32,29.7,38.42,Moderate
25,58.82,42.19,31.58,38.35,22.18,8.77,Healthy
24,55.8,54.86,55.72,35.66,29.11,9.57,Healthy
25,50.64,50.64,44.59,34.92,15.07,6.76,Healthy
24,50.12,31.98,16.66,19.81,12.51,31.15,Moderate
36,22.39,14.53,21.26,15.8,3.65,72.81,High
21,69.64,35.78,32.02,39.57,14.03,23.02,Low
38,46.99,66.87,32.19,20.61,1.79,49.13,Moderate
23,62.5,22.04,53.47,6.23,21.32,32.43,Moderate
30,55.59,20.16,39.47,22.83,4.36,36.03,Moderate
22,23.38,17.93,57.2,16.89,12.4,48.54,Moderate
28,54.45,49.65,40.5,37.99,18.79,8.81,Healthy
39,22.12,14.1,29.84,12.04,5.11,75.86,High
25,54.01,51.51,53.17,41.03,12.59,7.6,Healthy
24,60.12,59.96,54.68,36.48,23.18,7.6,Healthy
22,59.01,45.69,5.46,25.93,19.91,21.76,Low
38,27.43,12.3,12.81,8.18,23.52,75.51,High
39,66.37,56.43,58.21,38.36,22.51,27.07,Low
34,23.62,13.79,13.76,5.81,6.92,77.24,High
39,78.09,35.12,24.45,34.21,21.96,41.0,Moderate
25,68.49,35.18,45.57,44.63,5.63,20.87,Low
36,54.92,45.81,20.13,27.35,20.95,28.26,Low
23,62.34,52.77,29.2,35.85,18.08,9.62,Healthy
27,63.05,47.55,43.79,36.28,23.72,7.01,Healthy
23,59.2,39.77,49.06,30.59,17.16,9.6,Healthy
20,62.69,48.23,23.13,28.28,20.32,16.42,Low
39,61.51,69.23,22.69,30.39,25.98,37.63,Moderate
23,62.73,51.13,45.15,37.08,16.17,6.16,Healthy
30,35.35,64.6,23.01,45.73,14.05,37.07,Moderate
36,72.32,19.69,44.46,44.94,24.51,40.47,Moderate
38,25.77,15.43,5.92,49.34,5.12,75.52,High
24,50.62,69.41,25.67,23.14,13.1,26.57,Low
39,22.61,14.35,33.05,20.35,3.36,70.86,High
39,34.72,24.1,5.98,13.19,1.16,75.09,High
37,20.63,14.2,7.37,49.23,24.35,71.31,High
27,58.27,51.85,53.63,31.11,29.95,8.96,Healthy
40,24.6,12.72,23.82,44.04,5.22,70.86,High
39,24.73,59.48,12.16,5.52,2.99,73.37,High
40,24.5,29.39,10.77,8.52,14.48,72.37,High
39,61.29,24.15,11.6,29.41,21.33,43.71,Moderate
38,41.0,16.49,6.75,6.3,23.0,70.27,High
26,69.29,52.94,43.08,38.04,20.7,8.77,Healthy
27,42.15,20.95,6.08,13.3,21.21,47.84,Moderate
25,63.85,48.13,35.65,33.64,24.89,6.52,Healthy
26,72.61,50.05,49.44,34.65,19.77,7.71,Healthy
39,57.72,46.47,56.38,27.75,14.47,25.49,Low
31,67.23,40.25,27.36,46.25,29.27,27.66,Low
21,32.13,49.31,11.97,36.7,18.91,29.89,Low
28,58.08,16.81,42.98,36.15,7.15,27.61,Low
26,59.34,46.78,54.99,35.14,22.34,4.15,Healthy
21,22.83,59.02,32.95,19.2,8.96,41.25,Moderate
40,74.17,11.89,26.35,8.51,3.84,70.73,High
40,26.42,19.96,57.95,5.53,4.99,73.87,High
35,64.11,61.87,9.51,46.07,28.34,38.31,Moderate
39,25.17,15.86,10.07,9.53,13.84,77.3,High
40,22.35,12.36,6.63,8.82,22.08,82.33,High
31,23.85,13.61,16.4,6.4,2.21,74.88,High
24,65.11,52.89,42.46,29.87,12.47,9.58,Healthy
40,21.28,29.02,45.8,6.86,5.18,70.22,High
20,69.78,28.11,52.24,11.03,8.12,37.93,Moderate
22,62.16,46.96,42.56,32.82,22.37,8.16,Healthy
28,60.31,51.79,51.96,41.87,19.72,6.83,Healthy
26,57.72,46.25,54.16,36.64,8.5,9.26,Healthy
37,22.05,27.52,9.75,6.45,21.99,71.29,High
21,59.29,58.37,52.14,40.28,4.08,18.22,Low
38,36.13,52.1,24.59,5.48,5.95,56.28,Moderate
22,75.65,36.24,37.93,38.44,27.96,23.58,Low
36,35.22,18.31,15.21,12.25,1.49,70.42,High
37,57.88,12.42,57.9,18.6,28.32,45.54,Moderate
36,26.04,11.41,15.34,10.0,11.97,73.55,High
28,67.99,28.4,47.98,16.32,14.69,27.65,Low
35,23.4,13.63,6.78,19.65,4.77,74.01,High
32,32.52,68.05,6.41,24.18,8.34,52.01,Moderate
27,31.3,60.18,42.26,36.94,24.8,24.44,Low
